name,borough_name,latitude,longitude,url,manual_frequency,keywords,frequency,keyword_frequency
Wembley Library,Brent,51.55840914,-0.27988313,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/wembley-library/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Kilburn,Brent,51.53460692,-0.203802273,https://www.brent.gov.uk/libraries-arts-and-heritage/libraries/kilburn-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Bradmore Green,Croydon,51.30703271,-0.12240494,,,,,
Biggin Hill Memorial Library and Pool,Bromley,51.31170065,0.036318182,https://www.better.org.uk/library/london/bromley/biggin-hill-memorial-library,1,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Coulsdon,Croydon,51.31947203,-0.13709679,,,,,
Purley,Croydon,51.33861472,-0.117094012,,,,,
Sanderstead,Croydon,51.34028969,-0.083955297,,,,,
New Addington,Croydon,51.34039632,-0.014765878,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/new-addington-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Selsdon,Croydon,51.34193161,-0.060767012,,,,,
Library @ the Phoenix Centre,Sutton,51.35268985,-0.131684671,https://suttoninformationhub.org.uk/services/library-the-phoenix-centre,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
