MSOA11CD,Nearest_Library_ID,Distance_to_Library
E02000001,71,101.6594042
E02000002,5,399.0900897
E02000003,4,404.6188756
E02000004,164,1659.689546
E02000005,3,661.1234986
E02000007,3,1517.090073
E02000008,3,603.5206104
E02000009,264,975.6045263
E02000010,2,787.5360342
E02000011,2,1454.459042
E02000012,1,1522.520177
E02000013,3,1867.141147
E02000014,2,419.4118901
E02000015,2,919.301516
E02000016,1,575.4225649
E02000017,1,652.1879315
E02000018,0,1307.955382
E02000019,2,1633.859628
E02000020,0,313.0449007
E02000021,2,1720.07127
E02000022,1,421.0080425
E02000023,0,460.3226963
E02000024,21,265.8136249
E02000025,21,1579.43617
E02000026,20,522.2986056
E02000027,21,1143.2074
E02000028,20,1246.536128
E02000029,20,235.5247368
E02000030,21,2565.677953
E02000031,20,1568.121875
E02000032,19,556.769884
E02000033,19,398.0635241
E02000034,18,780.7143382
E02000035,18,788.7240083
E02000036,17,1031.462669
E02000037,17,1648.069697
E02000038,15,354.1959772
E02000039,16,64.0920106
E02000040,16,1658.728917
E02000041,17,255.0379579
E02000042,18,740.518818
E02000043,18,1420.327246
E02000044,14,984.5232631
E02000045,15,776.9609325
E02000046,11,559.1861888
E02000047,14,45.77048041
E02000048,11,1626.19087
E02000049,12,211.6950334
E02000050,10,847.343087
E02000051,11,630.8780343
E02000052,10,294.077095
E02000053,12,908.0590481
E02000054,9,595.4438783
E02000055,9,248.6616628
E02000056,8,572.7558908
E02000057,9,875.2150064
E02000058,8,967.0224869
E02000059,9,1551.009185
E02000060,7,741.8134072
E02000061,7,593.9624756
E02000062,41,1490.024114
E02000063,6,972.506647
E02000064,6,268.0793277
E02000065,33,903.5170119
E02000066,33,828.6957682
E02000067,32,1203.301557
E02000068,31,1445.176356
E02000069,32,915.1702691
E02000070,30,727.201844
E02000071,28,506.0183905
E02000072,29,382.2457804
E02000073,30,469.6772377
E02000074,28,1088.313658
E02000075,30,1096.670358
E02000077,27,784.796286
E02000078,28,871.4947347
E02000079,26,518.8012671
E02000080,27,332.5226224
E02000081,26,998.2791808
E02000082,27,1317.835704
E02000083,25,356.8708605
E02000084,26,1269.429732
E02000085,24,334.8660338
E02000086,24,833.4333747
E02000087,23,122.4288617
E02000088,24,1696.968209
E02000089,120,907.8045213
E02000090,22,861.0848723
E02000091,22,309.5198344
E02000092,22,2101.008268
E02000093,43,874.3753463
E02000094,43,1102.704275
E02000095,43,389.0909003
E02000096,158,1362.002757
E02000097,43,1230.269777
E02000098,42,840.8869011
E02000099,42,503.9306829
E02000100,161,1555.343544
E02000101,35,1135.370519
E02000102,41,2084.829917
E02000103,41,1004.055464
E02000104,42,810.9038932
E02000105,40,908.7579212
E02000106,41,1729.380489
E02000107,41,389.6894931
E02000108,40,1222.90152
E02000109,35,334.6468414
E02000110,41,546.8319128
E02000111,40,353.2000862
E02000112,39,750.9575182
E02000113,35,1532.053713
E02000114,38,116.8779895
E02000115,38,1046.651589
E02000116,38,731.8652681
E02000117,37,735.6155015
E02000118,39,767.5320138
E02000119,37,1460.096029
E02000120,36,664.6008852
E02000121,39,1013.778138
E02000122,38,769.330944
E02000123,37,303.0944098
E02000124,36,509.5644523
E02000125,38,1315.715017
E02000126,36,516.514078
E02000127,119,544.2678744
E02000128,56,638.3904484
E02000130,54,642.8986489
E02000131,86,726.8375146
E02000132,53,912.1830597
E02000133,56,1183.984275
E02000134,355,635.4495117
E02000135,54,915.9998554
E02000136,52,1125.471784
E02000137,50,929.1481601
E02000138,50,1171.271599
E02000139,53,546.751365
E02000140,52,286.6103891
E02000141,54,1087.435174
E02000142,355,948.5435056
E02000144,51,466.1744959
E02000145,52,2456.801766
E02000146,48,981.3115173
E02000147,50,593.4102249
E02000148,49,849.52736
E02000149,52,1503.946334
E02000150,45,1938.744873
E02000151,49,584.143021
E02000152,48,642.435128
E02000153,46,940.6525963
E02000154,47,687.7992643
E02000155,47,835.9901971
E02000156,45,150.2011008
E02000157,49,1825.289035
E02000158,47,1088.489151
E02000159,46,2068.995142
E02000160,46,1387.185106
E02000161,47,1475.203401
E02000162,47,4068.520044
E02000163,47,3018.918764
E02000165,44,1283.901716
E02000166,68,950.8435377
E02000167,67,939.1089279
E02000168,65,696.2137806
E02000169,64,817.7805088
E02000170,6,850.4967932
E02000171,63,596.4488657
E02000172,66,110.9650469
E02000173,67,680.1454816
E02000174,65,217.5791067
E02000175,64,72.75054406
E02000176,63,544.1844762
E02000177,63,530.1002702
E02000178,64,752.9405142
E02000179,63,402.9140518
E02000180,65,777.1302044
E02000181,64,693.8823097
E02000182,62,85.94105578
E02000183,61,168.5646186
E02000184,59,625.0044003
E02000185,60,361.880823
E02000186,59,586.2576936
E02000187,58,278.1240728
E02000188,59,570.7754756
E02000189,357,496.0524502
E02000190,357,317.9592571
E02000191,367,552.4114585
E02000192,57,120.4877636
E02000193,362,336.8311865
E02000194,86,651.7959161
E02000195,85,1563.711538
E02000196,85,598.8429938
E02000197,85,442.0827982
E02000198,83,1139.450151
E02000199,83,1172.259787
E02000200,84,724.1076313
E02000201,84,618.6635697
E02000202,83,559.7049111
E02000203,83,438.5196149
E02000204,246,964.0296389
E02000206,84,1064.990127
E02000207,81,747.2539446
E02000208,82,748.2029584
E02000209,82,694.473706
E02000210,81,1176.220223
E02000211,80,976.9475538
E02000212,82,526.6386901
E02000213,79,1130.846405
E02000214,81,448.7246023
E02000215,79,1288.185574
E02000216,79,1429.356905
E02000217,79,897.2089251
E02000218,80,987.26273
E02000219,80,1075.787786
E02000220,79,331.1154007
E02000221,300,1507.365259
E02000222,79,1695.278
E02000223,77,1572.796071
E02000224,76,1451.846968
E02000225,77,833.2515285
E02000226,78,1045.480032
E02000227,77,1643.246656
E02000228,76,47.96778972
E02000229,77,638.0666199
E02000230,75,353.3786754
E02000231,75,1338.142393
E02000232,78,1354.80998
E02000233,75,1747.336359
E02000234,74,730.453112
E02000235,73,2299.490319
E02000236,74,1217.620188
E02000237,73,691.5223508
E02000238,99,128.4562747
E02000239,97,971.129959
