MSOA11CD,MSOA11NM,geometry
E02000001,City of London 001,POINT (532482.7039767915 181269.3100176065)
E02000002,Barking and Dagenham 001,POINT (548312.914587414 189881.3785874949)
E02000003,Barking and Dagenham 002,POINT (548454.9249279731 188400.1498846446)
E02000004,Barking and Dagenham 003,POINT (551008.9717450518 186310.93443301003)
E02000005,Barking and Dagenham 004,POINT (548667.0893255679 186903.34361035156)
E02000007,Barking and Dagenham 006,POINT (549648.7339513552 186561.02964671448)
E02000008,Barking and Dagenham 007,POINT (548139.5796989929 185911.0939295587)
E02000009,Barking and Dagenham 008,POINT (546964.9446609217 185757.09086430277)
E02000010,Barking and Dagenham 009,POINT (549064.2122594982 185295.4668073541)
E02000011,Barking and Dagenham 010,POINT (550508.5304778129 185162.3379461869)
E02000012,Barking and Dagenham 011,POINT (545635.9769522208 184893.29135869467)
E02000013,Barking and Dagenham 012,POINT (547277.3030962932 184854.7214206027)
E02000014,Barking and Dagenham 013,POINT (548785.4295273739 184554.68900566627)
E02000015,Barking and Dagenham 014,POINT (550075.9642787075 184230.84703999409)
E02000016,Barking and Dagenham 015,POINT (544028.7378584674 184316.8643802538)
E02000017,Barking and Dagenham 016,POINT (544838.196717607 184459.67281042162)
E02000018,Barking and Dagenham 017,POINT (546552.9531748081 184299.07548343763)
E02000019,Barking and Dagenham 018,POINT (548167.5602565143 183256.82024311018)
E02000020,Barking and Dagenham 019,POINT (546104.0680001433 182741.58731433115)
E02000021,Barking and Dagenham 020,POINT (549508.4285044023 182827.51909431836)
E02000022,Barking and Dagenham 021,POINT (544383.738539026 183516.51510999817)
E02000023,Barking and Dagenham 022,POINT (546653.193105904 183109.22469891532)
E02000024,Barnet 001,POINT (524414.922108491 197000.69606669588)
E02000025,Barnet 002,POINT (525971.1502840038 196718.55847161735)
E02000026,Barnet 003,POINT (527682.6246520313 195951.60092956127)
E02000027,Barnet 004,POINT (524409.5164624193 195592.81894348343)
E02000028,Barnet 005,POINT (526170.7873749193 195509.9963397663)
E02000029,Barnet 006,POINT (527246.0622360305 195340.00350187183)
E02000030,Barnet 007,POINT (522735.9856090888 194776.0546162773)
E02000031,Barnet 008,POINT (526484.4299765108 194241.25281164824)
E02000032,Barnet 009,POINT (528839.2240176063 194154.45394287893)
E02000033,Barnet 010,POINT (528235.7205003232 193569.29988922688)
E02000034,Barnet 011,POINT (527071.7428837819 193128.87048618216)
E02000035,Barnet 012,POINT (525825.9783887742 193028.15717363326)
E02000036,Barnet 013,POINT (520325.7124551457 193009.7329715069)
E02000037,Barnet 014,POINT (518863.64304028376 193601.77583834558)
E02000038,Barnet 015,POINT (527828.3186454701 192351.1445307021)
E02000039,Barnet 016,POINT (521813.18651689566 192189.92322733492)
E02000040,Barnet 017,POINT (523480.9912277697 192439.82731172498)
E02000041,Barnet 018,POINT (519703.3677508449 191930.19402868376)
E02000042,Barnet 019,POINT (526260.0627356267 191902.63022390052)
E02000043,Barnet 020,POINT (525158.6774025435 192116.70312594474)
E02000044,Barnet 021,POINT (521003.18483509496 191594.31666962526)
E02000045,Barnet 022,POINT (527904.2826185392 191323.83426879544)
E02000046,Barnet 023,POINT (525550.3796171942 190761.628889669)
E02000047,Barnet 024,POINT (520442.4754368356 190746.13595069785)
E02000048,Barnet 025,POINT (523468.78168076527 190795.23002206822)
E02000049,Barnet 026,POINT (521558.01537242497 190714.06113539965)
E02000050,Barnet 027,POINT (526728.0601498571 190620.15290385814)
E02000051,Barnet 028,POINT (524820.4011350201 189902.52961864125)
E02000052,Barnet 029,POINT (526944.0498621172 189657.62275711057)
E02000053,Barnet 030,POINT (521558.11981809145 189734.19416545724)
E02000054,Barnet 031,POINT (522609.4440352118 189700.41962309394)
E02000055,Barnet 032,POINT (523148.27414304763 189160.31079517683)
E02000056,Barnet 033,POINT (526353.0179357047 188507.69335500398)
E02000057,Barnet 034,POINT (523576.4624490257 188625.03221367075)
E02000058,Barnet 035,POINT (525158.868680202 188671.71899187937)
E02000059,Barnet 036,POINT (521790.98844089604 188097.11476607734)
E02000060,Barnet 037,POINT (524289.3938192748 188205.27160008147)
E02000061,Barnet 038,POINT (525174.4128905523 187210.6122695645)
E02000062,Barnet 039,POINT (523330.5985032681 187125.6028621153)
E02000063,Barnet 040,POINT (524084.6313343141 186769.300211112)
E02000064,Barnet 041,POINT (524712.3522703951 186135.61854765794)
E02000065,Bexley 001,POINT (548359.6305911774 180392.310808061)
E02000066,Bexley 002,POINT (548003.7983029329 179327.71448443134)
E02000067,Bexley 003,POINT (549467.2121993124 179400.25787829905)
E02000068,Bexley 004,POINT (550744.956461539 178869.20538162338)
E02000069,Bexley 005,POINT (550077.8418240588 178179.78238975292)
E02000070,Bexley 006,POINT (548275.7277450752 178001.26329428641)
E02000071,Bexley 007,POINT (549836.8791500486 177250.61520377133)
E02000072,Bexley 008,POINT (552735.3960695097 176997.23213031518)
E02000073,Bexley 009,POINT (547830.2483098954 176924.9349239388)
E02000074,Bexley 010,POINT (551324.858490599 176679.4314042568)
E02000075,Bexley 011,POINT (549001.0197858528 176628.15720749265)
E02000077,Bexley 013,POINT (546965.0886793324 176423.86937289746)
E02000078,Bexley 014,POINT (550652.2129442657 176282.71438748276)
E02000079,Bexley 015,POINT (548768.9292338293 175474.63323214592)
E02000080,Bexley 016,POINT (546347.0222008191 175493.49706170816)
E02000081,Bexley 017,POINT (550145.7052607015 175235.88185638963)
E02000082,Bexley 018,POINT (545269.2123488891 175362.71670174523)
E02000083,Bexley 019,POINT (551689.9256964638 174881.30156013588)
E02000084,Bexley 020,POINT (547931.3439814927 174782.98709955398)
E02000085,Bexley 021,POINT (546748.2156110466 174274.59791706625)
E02000086,Bexley 022,POINT (545877.8567453385 173784.07877332674)
E02000087,Bexley 023,POINT (549668.8989063489 173548.1793210914)
E02000088,Bexley 024,POINT (547642.8787077988 173205.9426429817)
E02000089,Bexley 025,POINT (545083.5317209556 172914.68673409757)
E02000090,Bexley 026,POINT (545880.4985322095 172226.27193791178)
E02000091,Bexley 027,POINT (546867.261443611 171710.9369231595)
E02000092,Bexley 028,POINT (548646.732964554 171466.81654443)
E02000093,Brent 001,POINT (519612.0860495491 189691.1909633721)
E02000094,Brent 002,POINT (520666.0762828425 189156.51488664967)
E02000095,Brent 003,POINT (519253.37606445537 188678.36411633086)
E02000096,Brent 004,POINT (517633.43519306934 188209.92815391716)
E02000097,Brent 005,POINT (520391.1037219625 187860.62848778546)
E02000098,Brent 006,POINT (518979.78067319246 187545.85720498842)
E02000099,Brent 007,POINT (517819.01999114006 186969.37527822066)
E02000100,Brent 008,POINT (516664.3026541673 187131.27990045975)
E02000101,Brent 009,POINT (520021.81716147263 186701.0848224698)
E02000102,Brent 010,POINT (521307.9939358853 186729.28586307802)
E02000103,Brent 011,POINT (522480.57047873246 186449.00505247017)
