name,latitude,longitude,easting,northing,Column1
Thames View,51.52735487,0.106154673,546198.0775,183040.1829,20
Barking,51.5358099,0.081422904,544455.8779,183931.2966,11
Dagenham,51.53986885,0.150073004,549203.432,184520.334,16
Valence,51.55806921,0.135478474,548132.3554,186514.5713,4
Robert Jeyes Community Library,51.57212135,0.144638198,548721.4527,188095.717,6
Marks Gate,51.58490561,0.137516448,548186.4005,189502.8722,15
Childs Hill ,51.56166852,-0.199092218,524931.1315,186290.5449,9
Golders Green ,51.57425403,-0.200179203,524821.3455,187688.2469,2
Garden Suburb Community Library ,51.58580095,-0.181741357,526067.0323,189003.9408,15
Hendon,51.58809113,-0.227360361,522900.4698,189180.9416,2
East Finchley,51.59342094,-0.165973843,527138.0717,189878.6134,2
Finchley Church End ,51.59932321,-0.195695662,525064.9298,190484.0903,6
Colindale,51.60129207,-0.243478885,521748.6625,190622.0369,8
South Friern ,51.59993455,-0.146935286,528438.3924,190636.2092,4
Burnt Oak ,51.60276504,-0.261638438,520487.2066,190755.8344,4
Friern Barnet Community Library ,51.61303719,-0.151842928,528061.6744,192084.6865,10
Mill Hill ,51.61488958,-0.241490103,521850.0482,192137.4923,4
Edgware ,51.61577734,-0.272427097,519705.9612,192185.2188,4
North Finchley ,51.61807536,-0.174310929,526492.1183,192605.8502,4
Osidge,51.62982049,-0.147457177,528317.9741,193958.7725,0
East Barnet ,51.64389091,-0.159901578,527417.296,195501.7159,4
Chipping Barnet ,51.65565921,-0.203165618,524391.8092,196735.8892,8
Sidcup Library,51.42531937,0.106637863,546558.1523,171694.9975,16
Bexley Community Library,51.44224098,0.152449184,549687.5446,173669.18,0
Blackfen Community Library,51.44966601,0.106032019,546438.1518,174401.072,24
Crayford Library,51.44939192,0.181716274,551697.6452,174524.5142,14
Central Library,51.45547478,0.145384246,549153.4525,175126.3566,10
Welling Library,51.46201211,0.107780415,546520.0938,175777.4293,18
North Heath Community Library,51.47278049,0.162930989,550315.5663,177086.5627,0
Slade Green Community Library,51.47260377,0.192596225,552376.2848,177128.1937,18
Bostall Community Library,51.47518169,0.131517747,548126.2646,177289.5869,6
Erith Library,51.47860538,0.182997078,551689.767,177775.648,14
Upper Belvedere Community Library,51.4834101,0.14685388,549164.3806,178235.686,4
Thamesmead Library,51.49981378,0.124208362,547539.1717,180013.906,13
Ealing Road Library,51.5019159,-0.38027925,512521.117,179352.2711,2
Wembley Library,51.55840914,-0.27988313,519339.8475,185793.3494,2
Kilburn,51.53460692,-0.203802273,524678.5649,183273.2007,0
Harlesden,51.53817576,-0.248902211,521541.2282,183594.261,4
Willesden Green,51.54614396,-0.22734961,523014.3652,184516.3249,2
Ealing Road,51.54902978,-0.295856874,518256.8551,184724.4367,2
Barham Park,51.55167842,-0.309851801,517279.7498,184996.4752,12
Cricklewood,51.556355,-0.225798393,523094.3822,185654.4218,16
Preston,51.56968996,-0.294175125,518319.9106,187024.6449,5
Kingsbury,51.58552355,-0.274858006,519616.9955,188816.8294,0
Biggin Hill Memorial Library and Pool,51.31170065,0.036318182,542020.3836,158922.5458,1
West Wickham Library,51.37533193,-0.012306129,538440.0224,165905.3481,7
Hayes Library,51.37686239,0.019678625,540661.3202,166136.3177,4
Orpington Library,51.375607,0.102773528,546448.1007,166159.2581,4
Southborough Library,51.38938336,0.044998489,542384.6044,167577.4841,0
Petts Wood Library,51.38948409,0.072531624,544299.8675,167642.4634,10
Shortlands Library,51.39924941,-0.005589835,538835.1715,168577.7252,8
Bromley Central Library,51.40324078,0.016066784,540329.3874,169062.757,6
St Pauls Cray Library,51.40401746,0.104867667,546503.1308,169322.7341,3
Beckenham Library,51.40810746,-0.03534684,536738.8963,169506.8684,7
Penge Library,51.41339872,-0.049516924,535737.7837,170068.9349,9
Burnt Ash Library,51.4192948,0.021290019,540643.3959,170857.949,4
Chislehurst Library,51.41951611,0.066352567,543775.8361,170969.9055,14
Holborn Library,51.52067122,-0.11412,530938.2693,181880.0302,10
Pancras Square Library,51.53331656,-0.124801847,530161.1742,183267.1621,10
Camden Town Library,51.53374045,-0.136162072,529372.085,183294.1711,6
Kilburn Library Centre,51.53588068,-0.189547539,525663.6729,183439.2116,8
Chalk Farm (now Primrose Hill Community Library),51.54063196,-0.15509123,528039.9309,184027.2499,16
Swiss Cottage Library,51.54178129,-0.171630986,526889.8021,184126.2687,10
Belsize Community Library,51.5473928,-0.160674101,527633.8814,184769.3204,4
West Hampstead Library,51.54981004,-0.19003314,525591.6517,184987.3571,8
Kentish Town Library,51.54950403,-0.138864449,529140.0496,185042.3307,2
Queens Crescent Library,51.54997951,-0.149592003,528394.9661,185076.3412,8
Keats Community Library,51.55497759,-0.166629413,527199.8332,185602.4092,27
Highgate Library,51.56326752,-0.142487036,528850.0193,186566.4862,8
Shoe Lane,51.51492977,-0.104973389,531589.3461,181257.9678,14
Artizan Street,51.51514611,-0.075183973,533655.5685,181335.9912,11
Guildhall Library and City Business Library,51.51556142,-0.091238833,532540.4503,181352.976,2
Barbican,51.51944948,-0.092517837,532440.4365,181783.0158,22
Bradmore Green,51.30703271,-0.12240494,530972.108,158108.6541,5
Coulsdon,51.31947203,-0.13709679,529913.0368,159465.8282,13
Purley,51.33861472,-0.117094012,531252.2061,161629.9606,10
Sanderstead,51.34028969,-0.083955297,533555.4595,161875.9689,7
New Addington,51.34039632,-0.014765878,538374.0064,162015.8852,4
Selsdon,51.34193161,-0.060767012,535165.6722,162100.9893,9
Croydon central library,51.37138431,-0.097931813,532492.4014,165308.3352,8
Shirley,51.37465273,-0.043548174,536267.8069,165771.4392,5
Ashburton,51.38255158,-0.061536706,534992.6739,166616.5242,11
Broad Green,51.38485402,-0.115555759,531227.2638,166774.523,5
Thornton Heath,51.3963774,-0.103997406,531998.337,168076.6336,4
South Norwood,51.39677584,-0.077124186,533866.5769,168169.6617,6
Norbury,51.40507418,-0.119052849,530926.1783,169016.7576,3
Upper Norwood,51.4195192,-0.079751385,533617.5346,170693.9771,44
Northfields Library,51.49852209,-0.312582853,517226.7871,179080.8963,4
Southall Library (Dominion Centre and Library),51.50287467,-0.377570641,512705.29,179462.9579,4
Acton Town Hall Library,51.50589642,-0.26632407,520418.1379,179975.9369,16
West Ealing Library,51.50898637,-0.322962116,516479.6899,180228.0201,8
Hanwell Library,51.50942108,-0.334533647,515675.5997,180258.0305,4
Ealing Central Library,51.51182412,-0.300805858,518009.8669,180579.0286,18
Jubilee Gardens Library,51.52072747,-0.367926306,513330.3418,181463.1623,8
Pitshanger Library,51.52539097,-0.31235373,517173.751,182069.1958,0
Greenford Library,51.52930578,-0.353676795,514297.4318,182439.2575,2
Northolt Library,51.53913239,-0.383852769,512180.2474,183485.3896,10
Perivale Library,51.54009645,-0.32248201,516433.6455,183688.3709,2
Northolt Leisure Centre Library,51.54839666,-0.366920507,513331.4551,184541.7107,4
Wood End Library,51.55227084,-0.348289165,514613.4898,185001.5288,0
Fore Street,51.61166506,-0.063707118,534167.7696,192090.2023,10
Angel Raynham,51.61259183,-0.059377369,534464.8082,192201.2198,0
Bowes Road,51.61492809,-0.129038125,529635.185,192335.1415,2
Palmers Green,51.61508369,-0.109010668,531021.289,192388.1465,10
Millfield House,51.61589454,-0.079736045,533045.6374,192531.2191,0
Edmonton Green,51.62339871,-0.056459901,534634.8345,193408.3408,8
Winchmore Hill,51.62790941,-0.096829091,531827.4519,193836.3376,2
Southgate Circus,51.62989232,-0.126731632,529752.155,194003.3382,0
Ridge Avenue,51.63568138,-0.080359974,532944.5667,194730.4496,4
John Jackson,51.64493374,-0.064906253,533986.6629,195787.5378,0
Ponders End,51.64472766,-0.045949157,535298.8302,195799.5825,0
Oakwood,51.64834202,-0.127561284,529642.1267,196053.568,0
Enfield Town,51.65119271,-0.084620218,532604.4765,196447.6148,16
Enfield Highway,51.65843232,-0.045865671,535263.8263,197323.72,14
Enfield Island Village,51.66794853,-0.014837634,537381.1144,198439.8912,0
Ordnance Unity Centre,51.67157982,-0.037720477,535787.9117,198800.8953,12
Bullsmoor,51.67592229,-0.047890153,535071.8166,199264.9464,0
Slad Central Library,51.4783269,0.08681875,545014.2214,177550.0022,14
Coldharbour Library,51.42980097,0.058915383,543226.5737,172099.0195,4
Mottingham Library,51.43693949,0.045208326,542251.5993,172866.1064,6
New Eltham Library,51.43700853,0.072897864,544175.8233,172927.8955,8
Eltham Centre Library,51.45051273,0.05950408,543202.7192,174403.2846,24
Blackheath Village community library service,51.46567918,0.011172244,539798.3536,175996.4802,12
Blackheath Library,51.47646341,0.02315429,540597.4634,177218.5941,18
West Greenwich Library,51.47748419,-0.009682215,538314.1494,177269.6357,10
Charlton Library,51.47996113,0.038778646,541671.5753,177637.6376,18
Greenwich Centre Library,51.48507784,0.009978276,539656.1873,178151.3233,20
Plumstead Library,51.48585252,0.097888361,545756.9976,178408.722,18
Woolwich Library,51.48875521,0.067021338,543604.9412,178670.5409,20
Abbey Wood Library,51.49324188,0.111800593,546699.1318,179258.1857,4
Thamesmere Library,51.50721776,0.110795098,546584.5001,180810.2891,8
Slade Centre Library ,51.4788,0.08513,544893.5957,177599.1833,2
Shoreditch Library,51.52992914,-0.078323828,533394.526,182974.1553,19
Hackney Central Library,51.54397082,-0.054481199,535006.6997,184579.3952,19
Dalston CLR James Library,51.54553907,-0.072345591,533763.4253,184720.9605,22
Homerton Library,51.54845395,-0.040153269,535986.7987,185104.4226,20
Stoke Newington Library,51.56111212,-0.081208186,533103.5324,186436.538,6
Clapton Library,51.56216084,-0.058336644,534685.7258,186595.0453,18
N4 Library,51.56332898,-0.101937018,531660.3578,186645.514,6
Woodberry Down Library,51.56958151,-0.089760986,532486.1324,187362.814,11
Stamford Hill Library,51.56986343,-0.070823934,533797.6503,187428.6616,13
Hurlingham and Chelsea School and Community Library ,51.46730717,-0.194927408,525478.6583,175804.4775,0
Fulham,51.47675544,-0.201107392,525023.6285,176844.5832,21
Avonmore Library and Neighbourhood Centre,51.49206749,-0.205547084,524673.6104,178539.7561,0
Hammersmith,51.4940733,-0.222094745,523519.4818,178734.7818,21
Askew Road,51.50317005,-0.24146864,522150.3296,179713.8908,10
Shepherds Bush Library ,51.5059,-0.22427,523336.5627,180046.2712,16
Stroud Green and Harringay Library,51.57704541,-0.104800835,531422.3615,188165.6765,10
Hornsey Library,51.5777629,-0.120331171,530344.2181,188217.6635,10
