MSOA11CD,sum,count_sdep,calculation,sdep_sum the dep rate,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000001,4909,10,0.203707476,0.203707476,26,15,126
E02000002,2873,77,2.680125305,2.680125305,4,2,5
E02000003,3932,53,1.347914547,1.347914547,7,4,11
E02000004,2309,25,1.082719792,1.082719792,6,1,1
E02000005,3629,85,2.342243042,2.342243042,6,2,8
E02000007,3674,89,2.422427872,2.422427872,3,0,0
E02000008,4621,93,2.012551396,2.012551396,6,3,10
E02000009,4256,85,1.997180451,1.997180451,5,3,10
E02000010,3331,70,2.10147103,2.10147103,2,0,0
E02000011,2355,45,1.910828025,1.910828025,4,1,1
E02000012,3290,35,1.063829787,1.063829787,6,5,11
E02000013,3256,62,1.904176904,1.904176904,5,2,6
E02000014,3389,75,2.213042195,2.213042195,2,0,0
E02000015,3033,67,2.20903396,2.20903396,2,1,1
E02000016,3810,68,1.784776903,1.784776903,7,6,10
E02000017,2765,18,0.650994575,0.650994575,6,5,9
E02000018,3233,84,2.598206001,2.598206001,5,2,5
E02000019,3206,76,2.370555209,2.370555209,4,0,0
E02000020,4673,87,1.861759041,1.861759041,6,3,4
E02000021,2931,42,1.432958035,1.432958035,2,1,1
E02000022,2795,69,2.468694097,2.468694097,4,3,4
E02000023,2657,97,3.65073391,3.65073391,4,1,1
E02000024,4477,26,0.580746035,0.580746035,1,0,0
E02000025,3746,40,1.067805659,1.067805659,2,0,0
E02000026,2513,23,0.915240748,0.915240748,4,0,0
E02000027,3684,48,1.302931596,1.302931596,2,0,0
E02000028,2690,26,0.966542751,0.966542751,3,0,0
E02000029,3706,58,1.565029682,1.565029682,6,0,0
E02000030,3522,14,0.39750142,0.39750142,5,0,0
E02000031,3327,24,0.721370604,0.721370604,4,0,0
E02000032,2742,10,0.364697301,0.364697301,7,0,0
E02000033,3494,36,1.030337722,1.030337722,9,0,0
E02000034,3586,39,1.087562744,1.087562744,7,0,0
E02000035,3527,28,0.793875815,0.793875815,4,0,0
E02000036,3946,44,1.115053218,1.115053218,4,0,0
E02000037,3717,29,0.780199085,0.780199085,4,0,0
E02000038,4005,38,0.948813983,0.948813983,9,0,0
E02000039,2673,15,0.561167228,0.561167228,4,0,0
E02000040,3510,25,0.712250712,0.712250712,4,0,0
E02000041,3326,36,1.082381239,1.082381239,5,0,0
E02000042,4712,34,0.721561969,0.721561969,5,0,0
E02000043,2665,13,0.487804878,0.487804878,2,0,0
E02000044,3066,45,1.467710372,1.467710372,4,0,0
E02000045,4200,67,1.595238095,1.595238095,10,0,0
E02000046,2877,14,0.486618005,0.486618005,4,1,11
E02000047,4217,143,3.391036282,3.391036282,6,0,0
E02000048,3951,32,0.809921539,0.809921539,6,1,11
E02000049,3801,107,2.815048671,2.815048671,5,0,0
