MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000001,26,15.0,126.0
E02000002,4,2.0,5.0
E02000003,7,4.0,11.0
E02000004,6,1.0,1.0
E02000005,6,2.0,8.0
E02000007,3,0.0,0.0
E02000008,6,3.0,10.0
E02000009,5,3.0,10.0
E02000010,2,0.0,0.0
E02000011,4,1.0,1.0
E02000012,6,5.0,11.0
E02000013,5,2.0,6.0
E02000014,2,0.0,0.0
E02000015,2,1.0,1.0
E02000016,7,6.0,10.0
E02000017,6,5.0,9.0
E02000018,5,2.0,5.0
E02000019,4,0.0,0.0
E02000020,6,3.0,4.0
E02000021,2,1.0,1.0
E02000022,4,3.0,4.0
E02000023,4,1.0,1.0
E02000024,1,0.0,0.0
E02000025,2,0.0,0.0
E02000026,4,0.0,0.0
E02000027,2,0.0,0.0
E02000028,3,0.0,0.0
E02000029,6,0.0,0.0
E02000030,5,0.0,0.0
E02000031,4,0.0,0.0
E02000032,7,0.0,0.0
E02000033,9,0.0,0.0
E02000034,7,0.0,0.0
E02000035,4,0.0,0.0
E02000036,4,0.0,0.0
E02000037,4,0.0,0.0
E02000038,9,0.0,0.0
E02000039,4,0.0,0.0
E02000040,4,0.0,0.0
E02000041,5,0.0,0.0
E02000042,5,0.0,0.0
E02000043,2,0.0,0.0
E02000044,4,0.0,0.0
E02000045,10,0.0,0.0
E02000046,4,1.0,11.0
E02000047,6,0.0,0.0
E02000048,6,1.0,11.0
E02000049,5,0.0,0.0
E02000050,10,1.0,11.0
E02000051,5,1.0,11.0
E02000052,7,1.0,11.0
E02000053,5,0.0,0.0
E02000054,5,0.0,0.0
E02000055,4,0.0,0.0
E02000056,9,3.0,29.0
E02000057,4,1.0,11.0
E02000058,6,2.0,12.0
E02000059,5,0.0,0.0
E02000060,6,2.0,12.0
E02000061,6,3.0,29.0
E02000062,6,1.0,1.0
E02000063,6,1.0,1.0
E02000064,6,2.0,18.0
E02000065,4,0.0,0.0
E02000066,6,1.0,1.0
E02000067,5,0.0,0.0
E02000068,4,1.0,1.0
E02000069,5,1.0,1.0
E02000070,8,1.0,1.0
E02000071,6,1.0,1.0
E02000072,4,1.0,1.0
E02000073,9,1.0,1.0
E02000074,5,1.0,1.0
E02000075,5,0.0,0.0
E02000077,7,1.0,1.0
E02000078,7,1.0,1.0
E02000079,6,0.0,0.0
E02000080,6,0.0,0.0
E02000081,6,1.0,1.0
E02000082,7,1.0,1.0
E02000083,6,1.0,1.0
E02000084,5,0.0,0.0
E02000085,4,0.0,0.0
E02000086,5,0.0,0.0
E02000087,4,0.0,0.0
E02000088,5,0.0,0.0
E02000089,6,0.0,0.0
E02000090,5,0.0,0.0
E02000091,6,0.0,0.0
E02000092,3,0.0,0.0
E02000093,5,0.0,0.0
E02000094,4,0.0,0.0
E02000095,4,1.0,3.0
E02000096,5,1.0,3.0
E02000097,4,1.0,3.0
E02000098,4,1.0,3.0
E02000099,6,2.0,9.0
E02000100,9,3.0,10.0
E02000101,4,1.0,3.0
E02000102,3,0.0,0.0
E02000103,5,1.0,1.0
E02000104,4,2.0,9.0
E02000105,7,3.0,10.0
E02000106,4,0.0,0.0
E02000107,5,1.0,1.0
E02000108,5,2.0,7.0
E02000109,5,2.0,9.0
E02000110,5,1.0,1.0
E02000111,5,2.0,9.0
E02000112,5,2.0,9.0
E02000113,5,0.0,0.0
E02000114,6,1.0,1.0
E02000115,7,2.0,5.0
E02000116,5,1.0,4.0
E02000117,3,0.0,0.0
E02000118,6,2.0,9.0
E02000119,5,0.0,0.0
E02000120,12,4.0,10.0
E02000121,5,1.0,6.0
E02000122,8,2.0,6.0
E02000123,3,1.0,4.0
E02000124,10,3.0,8.0
E02000125,6,3.0,8.0
E02000126,14,6.0,15.0
E02000127,10,1.0,1.0
E02000128,5,0.0,0.0
E02000130,6,2.0,7.0
E02000131,6,2.0,7.0
E02000132,5,1.0,2.0
E02000133,11,1.0,2.0
E02000134,5,0.0,0.0
E02000135,7,2.0,7.0
E02000136,6,1.0,2.0
E02000137,5,0.0,0.0
E02000138,6,1.0,2.0
E02000139,5,2.0,3.0
E02000140,2,0.0,0.0
E02000141,6,2.0,3.0
E02000142,5,0.0,0.0
E02000144,5,0.0,0.0
E02000145,3,0.0,0.0
E02000146,5,1.0,2.0
E02000147,5,1.0,1.0
E02000148,4,1.0,2.0
E02000149,3,1.0,2.0
E02000150,6,4.0,5.0
E02000151,4,1.0,2.0
E02000152,4,1.0,2.0
E02000153,5,1.0,1.0
E02000154,3,1.0,2.0
E02000155,2,0.0,0.0
E02000156,4,2.0,2.0
E02000157,3,1.0,2.0
E02000158,1,0.0,0.0
E02000159,3,1.0,2.0
E02000160,4,1.0,1.0
E02000161,1,0.0,0.0
E02000162,1,0.0,0.0
E02000163,1,0.0,0.0
E02000165,2,0.0,0.0
E02000166,16,7.0,38.0
E02000167,11,5.0,33.0
E02000168,14,5.0,28.0
E02000169,10,5.0,25.0
E02000170,9,2.0,18.0
E02000171,12,4.0,24.0
E02000172,16,5.0,28.0
E02000173,11,5.0,25.0
E02000174,17,6.0,35.0
E02000175,11,5.0,25.0
E02000176,9,4.0,24.0
E02000177,13,5.0,28.0
E02000178,11,4.0,10.0
E02000179,10,4.0,24.0
E02000180,17,6.0,20.0
E02000181,10,5.0,25.0
E02000182,15,6.0,27.0
E02000183,19,8.0,44.0
E02000184,19,8.0,46.0
