name,url
Thames View,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/thames-community
Barking,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/barking-learning
Dagenham,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/dagenham-learning
Valence,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/valence-community
Robert Jeyes Community Library,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/chadwell-heath-and
Marks Gate,https://www.lbbd.gov.uk/libraries-and-local-history/our-libraries/library-opening-times-and-information/marks-gate
Childs Hill ,https://www.barnet.gov.uk/libraries/find-your-local-library/childs-hill-library
Golders Green ,https://www.barnet.gov.uk/libraries/find-your-local-library/golders-green-library
Garden Suburb Community Library ,https://gardensuburblibrary.org.uk/
Hendon,https://www.barnet.gov.uk/libraries/find-your-local-library/hendon-library
East Finchley,https://www.barnet.gov.uk/libraries/find-your-local-library/east-finchley-library
Finchley Church End ,https://www.barnet.gov.uk/libraries/find-your-local-library/finchley-church-end-library
Colindale,https://www.barnet.gov.uk/libraries/find-your-local-library/colindale-library
South Friern ,https://www.barnet.gov.uk/libraries/find-your-local-library/south-friern-library
Burnt Oak ,https://www.barnet.gov.uk/libraries/find-your-local-library/burnt-oak-library
Friern Barnet Community Library ,http://www.friernbarnetlibrary.org/
Mill Hill ,https://www.barnet.gov.uk/libraries/find-your-local-library/mill-hill-library
Edgware ,https://www.barnet.gov.uk/libraries/find-your-local-library/edgware-library
North Finchley ,https://www.barnet.gov.uk/libraries/find-your-local-library/north-finchley-library
Osidge,https://www.barnet.gov.uk/libraries/find-your-local-library/osidge-library
East Barnet ,https://www.barnet.gov.uk/libraries/find-your-local-library/new-barnet-leisure-centre-and-library
Chipping Barnet ,https://www.barnet.gov.uk/libraries/find-your-local-library/chipping-barnet-library
Sidcup Library,https://arena.yourlondonlibrary.net/web/bexley/sidcup-library
Bexley Community Library,https://arena.yourlondonlibrary.net/web/bexley/bcl
Blackfen Community Library,https://arena.yourlondonlibrary.net/web/bexley/blackfen-library
Crayford Library,https://arena.yourlondonlibrary.net/web/bexley/crayford-library
Central Library,https://arena.yourlondonlibrary.net/web/bexley/central-library
Welling Library,https://arena.yourlondonlibrary.net/web/bexley/welling-library
North Heath Community Library,https://arena.yourlondonlibrary.net/web/bexley/north-heath-library
Slade Green Community Library,https://ecocom.uk/
Bostall Community Library,https://www.bostall-librarycg.org.uk/index.php/about-us/contact-us
Erith Library,https://arena.yourlondonlibrary.net/web/bexley/-/erith-library#/?location=Erith%20Library
Upper Belvedere Community Library,https://arena.yourlondonlibrary.net/web/bexley/upper-belvedere-library
Thamesmead Library,https://arena.yourlondonlibrary.net/web/bexley/thamesmead-library
Ealing Road Library,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/ealing-road-library/
Wembley Library,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/wembley-library/
Kilburn,https://www.brent.gov.uk/libraries-arts-and-heritage/libraries/kilburn-library
Harlesden,https://libraries.brent.gov.uk/digital-content/brent-libraries/harlesden-library-plus
Willesden Green,https://www.brent.gov.uk/libraries-arts-and-heritage/libraries/the-library-at-willesden-green
Ealing Road,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/ealing-road-library
Barham Park,https://barhamlibrary.tumblr.com/
Cricklewood,http://cricklewoodlibrary.org.uk
Preston,https://prestoncommunitylibrary.org
Kingsbury,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/kingsbury-library/
Biggin Hill Memorial Library and Pool,https://www.better.org.uk/library/london/bromley/biggin-hill-memorial-library
West Wickham Library,https://www.better.org.uk/library/london/bromley/west-wickham-library
Hayes Library,https://www.better.org.uk/library/london/bromley/hayes-library
Orpington Library,https://www.better.org.uk/library/london/bromley/orpington-library
Southborough Library,https://www.better.org.uk/library/london/bromley/southborough-library
Petts Wood Library,https://www.better.org.uk/library/london/bromley/petts-wood-library
Shortlands Library,https://www.better.org.uk/library/london/bromley/shortlands-library
Bromley Central Library,https://www.better.org.uk/library/london/bromley/bromley-central-library
St Pauls Cray Library,https://www.better.org.uk/library/london/bromley/st-paul-s-cray-library-community-support-centre
Beckenham Library,https://arena.yourlondonlibrary.net/web/bromley/beckenham-library
Penge Library,https://www.better.org.uk/library/london/bromley/penge-library
Burnt Ash Library,https://www.better.org.uk/library/london/bromley/burnt-ash-library
Chislehurst Library,https://arena.yourlondonlibrary.net/web/bromley/chislehurst-library
Holborn Library,https://www.camden.gov.uk/holborn-library
Pancras Square Library,https://www.camden.gov.uk/pancras-square-library
Camden Town Library,https://www.camden.gov.uk/camden-town-library
Kilburn Library Centre,https://www.camden.gov.uk/kilburn-library
Chalk Farm (now Primrose Hill Community Library),https://www.phcl.org
Swiss Cottage Library,https://www.camden.gov.uk/swiss-cottage-library
Belsize Community Library,http://thewinch.org/belsizecommunitylibrary/
West Hampstead Library,https://www.camden.gov.uk/west-hampstead-library
Kentish Town Library,https://www.camden.gov.uk/kentish-town-library
Queens Crescent Library,https://www.camden.gov.uk/queens-crescent-library
Keats Community Library,https://www.calameo.com/read/007331249eea640536dde
Highgate Library,https://www.camden.gov.uk/highgate-library
Shoe Lane,https://www.cityoflondon.gov.uk/services/libraries/regular-library-activities-for-children
Artizan Street,https://www.cityoflondon.gov.uk/services/libraries/artizan-street-library
Guildhall Library and City Business Library,https://www.fis.cityoflondon.gov.uk/directory/city-business-library
Barbican,https://www.barbican.org.uk/your-visit/during-your-visit/library
Bradmore Green,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/bradmore-green-library
Coulsdon,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/coulsdon-library
Purley,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/purley-library
Sanderstead,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/sanderstead-library
New Addington,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/new-addington-library
Selsdon,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/selsdon-library
Croydon central library,https://www.croydon.gov.uk/libraries-leisure-and-culture/libraries/find-your-library/central-library
