,MSOA11CD,count_sin,sum,count_sdep,sdep/sum,sdep/sin,library_name_sum,filtered_library_name_sum,keyword_frequency_sum,Total annual income,POPDEN
0,E02000001,90.0,4909.0,10.0,0.203707476,11.11111111,26.0,15.0,126.0,101800.0,25.5
1,E02000002,436.0,2873.0,77.0,2.680125305,17.66055046,4.0,2.0,5.0,43600.0,31.3
2,E02000003,414.0,3932.0,53.0,1.347914547,12.80193237,7.0,4.0,11.0,50900.0,46.9
3,E02000004,178.0,2309.0,25.0,1.082719792,14.04494382,6.0,1.0,1.0,52000.0,24.8
4,E02000005,451.0,3629.0,85.0,2.342243042,18.84700665,6.0,2.0,8.0,48100.0,72.1
5,E02000007,572.0,3674.0,89.0,2.422427872,15.55944056,3.0,0.0,0.0,39000.0,50.6
6,E02000008,582.0,4621.0,93.0,2.012551396,15.97938144,6.0,3.0,10.0,42100.0,81.5
7,E02000009,535.0,4256.0,85.0,1.997180451,15.88785047,5.0,3.0,10.0,45800.0,87.4
8,E02000010,463.0,3331.0,70.0,2.10147103,15.1187905,2.0,0.0,0.0,40900.0,76.8
9,E02000011,253.0,2355.0,45.0,1.910828025,17.78656126,4.0,1.0,1.0,46500.0,38.8
10,E02000012,254.0,3290.0,35.0,1.063829787,13.77952756,6.0,5.0,11.0,56100.0,76.0
11,E02000013,405.0,3256.0,62.0,1.904176904,15.30864198,5.0,2.0,6.0,44100.0,64.4
12,E02000014,440.0,3389.0,75.0,2.213042195,17.04545455,2.0,0.0,0.0,42900.0,78.8
13,E02000015,432.0,3033.0,67.0,2.20903396,15.50925926,2.0,1.0,1.0,41200.0,55.5
14,E02000016,460.0,3810.0,68.0,1.784776903,14.7826087,7.0,6.0,10.0,46600.0,86.6
15,E02000017,182.0,2765.0,18.0,0.650994575,9.89010989,6.0,5.0,9.0,51300.0,97.0
16,E02000018,482.0,3233.0,84.0,2.598206001,17.42738589,5.0,2.0,5.0,41600.0,65.5
17,E02000019,502.0,3206.0,76.0,2.370555209,15.13944223,4.0,0.0,0.0,46100.0,27.2
18,E02000020,563.0,4673.0,87.0,1.861759041,15.45293073,6.0,3.0,4.0,47800.0,27.1
19,E02000021,414.0,2931.0,42.0,1.432958035,10.14492754,2.0,1.0,1.0,43300.0,27.4
20,E02000022,496.0,2795.0,69.0,2.468694097,13.91129032,4.0,3.0,4.0,41300.0,117.2
21,E02000023,474.0,2657.0,97.0,3.65073391,20.46413502,4.0,1.0,1.0,46100.0,37.1
22,E02000024,227.0,4477.0,26.0,0.580746035,11.45374449,1.0,0.0,0.0,64300.0,27.1
23,E02000025,255.0,3746.0,40.0,1.067805659,15.68627451,2.0,0.0,0.0,60900.0,33.1
24,E02000026,150.0,2513.0,23.0,0.915240748,15.33333333,4.0,0.0,0.0,62300.0,43.1
