library,libraryLabel,urls,coords
http://www.wikidata.org/entity/Q4864125,Barry Council Office and Library,http://www.valeofglamorgan.gov.uk/en/enjoying/libraries/libraries.aspx,Point(-3.2666 51.4067)
http://www.wikidata.org/entity/Q5061355,Edinburgh Central Library,https://www.edinburgh.gov.uk/directory-record/1229174/central-library,Point(-3.19221 55.94824)
http://www.wikidata.org/entity/Q5138596,Coatbridge Library,https://culturenl.co.uk/libraries/your-library/coatbridge-library/,Point(-4.028551493 55.863323127)
http://www.wikidata.org/entity/Q5225616,Dartford Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=14&uprn=200000533638,Point(0.218889 51.4431)
http://www.wikidata.org/entity/Q5596629,Grantham Museum,https://www.granthammuseum.org.uk/,Point(-0.63993 52.9105)
http://www.wikidata.org/entity/Q5645183,Hamilton library,http://www.slleisureandculture.co.uk/info/87/hamilton_town_house_library,Point(-4.038748 55.777832)
http://www.wikidata.org/entity/Q7592492,St Anne's Library,http://www.lancashire.gov.uk/libraries-and-archives/libraries/find-a-library/st-annes-library.aspx,Point(-3.0266 53.7471)
http://www.wikidata.org/entity/Q7860447,Tyndale House,https://tyndalehouse.com,Point(0.1036 52.1994)
http://www.wikidata.org/entity/Q7917325,Vaughan Williams Memorial Library,https://www.vwml.org/,Point(-0.1493 51.5381)
http://www.wikidata.org/entity/Q7981191,Wellcome Collection,http://www.wellcomecollection.org,Point(-0.133888888 51.525944444)
http://www.wikidata.org/entity/Q8034902,Working Class Movement Library,http://www.wcml.org.uk,Point(-2.273353 53.484254)
http://www.wikidata.org/entity/Q8034902,Working Class Movement Library,http://www.wcml.org.uk,Point(-2.27306 53.4842)
http://www.wikidata.org/entity/Q15979597,Walkley Library,http://www.walkleylibrary.org.uk/,Point(-1.50306 53.3949)
http://www.wikidata.org/entity/Q17741298,Cathays Library,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Cathays-Library.aspx,Point(-3.18213 51.4974)
http://www.wikidata.org/entity/Q17816381,Dunfermline Carnegie Library,http://www.onfife.com/venues/dunfermline-carnegie-library-galleries,Point(-3.46188 56.0703)
http://www.wikidata.org/entity/Q17816381,Dunfermline Carnegie Library,https://www.fifedirect.org.uk/atoz/index.cfm?fuseaction=facility.display&facid=0C95F6FA-11D6-467F-BDE5ED42118689F4&resc_title=Library,Point(-3.46188 56.0703)
http://www.wikidata.org/entity/Q17826519,Motherwell Library,https://culturenl.co.uk/libraries/your-library/motherwell-library/,Point(-3.99412 55.7893)
http://www.wikidata.org/entity/Q17836338,Ayr Carnegie Library,http://www.south-ayrshire.gov.uk/libraries/branches/carnegie-library.aspx,Point(-4.62996 55.466)
http://www.wikidata.org/entity/Q17837283,Jedburgh Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/jedburgh_library_contact_centre(1).aspx,Point(-2.55618 55.4773)
http://www.wikidata.org/entity/Q17852742,West Calder Library,https://www.westlothian.gov.uk/article/2254/West-Calder-Library,Point(-3.56812 55.8521)
http://www.wikidata.org/entity/Q21127516,Clitheroe Library,http://www.lancashire.gov.uk/libraries-and-archives/libraries/find-a-library/clitheroe-library/,Point(-2.3906 53.873)
http://www.wikidata.org/entity/Q24993774,Accrington Library,http://www.lancashire.gov.uk/libraries-and-archives/libraries/find-a-library/accrington-library.aspx,Point(-2.366677 53.752505)
http://www.wikidata.org/entity/Q26380363,Long Eaton Library,http://www.derbyshire.gov.uk/leisure/libraries/find_your_local_library/Long_Eaton/default.asp,Point(-1.27286 52.895636)
http://www.wikidata.org/entity/Q26407135,Farnworth Library,http://www.bolton.gov.uk/website/pages/FarnworthLibrary.aspx,Point(-2.396849 53.551344)
http://www.wikidata.org/entity/Q26428497,Morley Library,http://www.leeds.gov.uk/leisure/Pages/Morley-library.aspx,Point(-1.601244 53.74658)
http://www.wikidata.org/entity/Q26442309,Harrogate Library,https://www.northyorks.gov.uk/harrogate-library,Point(-1.538638 53.991007)
http://www.wikidata.org/entity/Q26451619,Kendal Library,http://www.cumbria.gov.uk/libraries/locations/kendalLibrary.asp,Point(-2.747722222 54.329222222)
http://www.wikidata.org/entity/Q26480839,London Arts Base,https://www.lambeth.gov.uk/places/carnegie-library,Point(-0.096513 51.460686)
http://www.wikidata.org/entity/Q26496694,Bideford Town Hall and Library,https://www.devonlibraries.org.uk/web/arena/bidefordlibrary,Point(-4.205072 51.016622)
http://www.wikidata.org/entity/Q26513097,Former Dalton-in-Furness Library,https://www.cumbria.gov.uk/libraries/locations/dal_lib.asp,Point(-3.182083 54.157561)
http://www.wikidata.org/entity/Q26528962,Chats Palace,http://www.chatspalace.com/,Point(-0.042739 51.550266)
http://www.wikidata.org/entity/Q26560951,Calne Heritage Centre,http://www.calneheritage.co.uk/index.php,Point(-2.00431 51.437028)
http://www.wikidata.org/entity/Q26575639,Dudley Library,http://www.dudley.gov.uk/resident/libraries-archives/libraries/find-a-library/dudley-library/,Point(-2.085049 52.511705)
http://www.wikidata.org/entity/Q26614504,Ilkeston Library,http://www.derbyshire.gov.uk/leisure/libraries/find_your_local_library/ilkeston/default.asp,Point(-1.308963 52.970147)
http://www.wikidata.org/entity/Q26640448,Old Manor Park Library,http://oldmanorparklibrary.org/,Point(0.053763 51.553109)
http://www.wikidata.org/entity/Q26672713,Ashton-in-Makerfield Library,https://www.wigan.gov.uk/Resident/Libraries/Ashton-Library.aspx,Point(-2.639011 53.488881)
http://www.wikidata.org/entity/Q26676167,Milnrow Library,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/milnrow-library.aspx,Point(-2.104572 53.606046)
http://www.wikidata.org/entity/Q29482456,Abergavenny Public Library,http://www.monmouthshire.gov.uk/community-hubs-libraries/abergavenny-community-hub/abergavenny-library,Point(-3.0216586 51.823085)
http://www.wikidata.org/entity/Q29483742,Bangor Library,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bangor-library.aspx,Point(-4.127445 53.2277)
http://www.wikidata.org/entity/Q29489790,Carnegie House,http://www.carnegiehouse.co.uk/,Point(-3.5783353 51.507111)
http://www.wikidata.org/entity/Q29489897,Merthyr Tydfil Central Library,http://www.merthyrlibraries.co.uk/our-libraries/central-library.aspx,Point(-3.3777214 51.747249)
http://www.wikidata.org/entity/Q29496272,Pontypool Library,https://www.torfaen.gov.uk/en/Libraries/Libraries-mobilelibraryservice/Pontypool-Library.aspx,Point(-3.0396281 51.701661)
http://www.wikidata.org/entity/Q29499980,Taibach Library,http://www.taibachlibrary.org.uk/,Point(-3.7716846 51.586143)
http://www.wikidata.org/entity/Q29502773,Canton Library,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Canton-Library.aspx,Point(-3.2027737 51.482089)
http://www.wikidata.org/entity/Q29503585,Whitchurch Library,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Whitchurch-Library.aspx,Point(-3.2254154 51.516032)
http://www.wikidata.org/entity/Q29503942,Dowlais Library,http://www.merthyrlibraries.co.uk/our-libraries/dowlais-library.aspx,Point(-3.3539287 51.7610862)
http://www.wikidata.org/entity/Q29504201,Treharris Library,http://www.merthyrlibraries.co.uk/our-libraries/treharris-library.aspx,Point(-3.3039874 51.664135)
http://www.wikidata.org/entity/Q29504518,Rogerstone Library,http://www.newport.gov.uk/en/Leisure-Tourism/Libraries/Find-a-library/Rogerstone-Library-and-Information-Centre.aspx,Point(-3.0564769 51.586247)
http://www.wikidata.org/entity/Q31940411,The Old Library,http://newperspectives.co.uk/,Point(-1.194477 53.145833)
http://www.wikidata.org/entity/Q31940411,The Old Library,http://www.nottinghamshire.gov.uk/culture-leisure/arts/old-library,Point(-1.194477 53.145833)
http://www.wikidata.org/entity/Q45840770,Skipton Library,http://www.northyorks.gov.uk/article/25294/Skipton-library,Point(-2.016973 53.962389)
http://www.wikidata.org/entity/Q45840770,Skipton Library,http://www.northyorks.gov.uk/article/25294/Skipton-library,Point(-2.0167315 53.962363239)
http://www.wikidata.org/entity/Q53151704,Huthwaite Library,https://www.inspireculture.org.uk/reading-information/find-a-library/huthwaite-library,Point(-1.299963103 53.128300761)
http://www.wikidata.org/entity/Q1030648,Campbeltown Library and Museum,https://liveargyll.co.uk/facility/campbeltown-museum/,Point(-5.603052363 55.423859474)
http://www.wikidata.org/entity/Q1030648,Campbeltown Library and Museum,https://liveargyll.co.uk/facility/campbeltown-museum/#,Point(-5.603052363 55.423859474)
http://www.wikidata.org/entity/Q2336196,Montagu C. Butler Library,https://biblbut.wordpress.com/,Point(-2.1657 52.9429)
http://www.wikidata.org/entity/Q1602700,Radcliffe Camera,https://www.bodleian.ox.ac.uk/bodley/find-us/radcliffe_camera,Point(-1.2539 51.7534)
http://www.wikidata.org/entity/Q618626,Gladstone's Library,http://www.gladstoneslibrary.org,Point(-3.02729 53.1859)
http://www.wikidata.org/entity/Q618626,Gladstone's Library,http://www.st-deiniols.org/,Point(-3.02729 53.1859)
http://www.wikidata.org/entity/Q620788,Leighton Library,http://www.leightonlibrary.org.uk/,Point(-3.964416859 56.188619121)
http://www.wikidata.org/entity/Q631064,Garrison Library,http://www.ggl.gi/,Point(-5.35215 36.138966)
http://www.wikidata.org/entity/Q688663,Armitt Library,http://armitt.com/armitt_website/armitt-museum-and-library-ambleside-cumbria/,Point(-2.9633 54.4343)
http://www.wikidata.org/entity/Q688663,Armitt Library,https://www.armitt.com/,Point(-2.9633 54.4343)
http://www.wikidata.org/entity/Q12898871,North Devon Athenaeum,http://www.northdevonathenaeum.org.uk/index.html,Point(-4.058916702 51.077979772)
http://www.wikidata.org/entity/Q15275733,Scottish Poetry Library,http://www.scottishpoetrylibrary.org.uk/library/collections,Point(-3.178461 55.951425)
http://www.wikidata.org/entity/Q15275733,Scottish Poetry Library,https://www.scottishpoetrylibrary.org.uk,Point(-3.178461 55.951425)
http://www.wikidata.org/entity/Q15275733,Scottish Poetry Library,http://www.scottishpoetrylibrary.org.uk/library/collections,Point(-3.1781 55.9514)
http://www.wikidata.org/entity/Q15275733,Scottish Poetry Library,https://www.scottishpoetrylibrary.org.uk,Point(-3.1781 55.9514)
http://www.wikidata.org/entity/Q3918721,Francis Skaryna Belarusian Library and Museum,https://skaryna.org/,Point(-0.1848 51.6162)
http://www.wikidata.org/entity/Q4754243,Andersonian Library,http://www.lib.strath.ac.uk/abolib.htm,Point(-4.24064 55.8634)
http://www.wikidata.org/entity/Q4764154,Angus Library and Archive,http://theangus.rpc.ox.ac.uk,Point(-1.261394 51.756739)
http://www.wikidata.org/entity/Q4764154,Angus Library and Archive,http://theangus.rpc.ox.ac.uk,Point(-1.261 51.7573)
http://www.wikidata.org/entity/Q4916857,Birmingham and Midland Institute,https://www.bmi.org.uk/,Point(-1.9038 52.4814)
http://www.wikidata.org/entity/Q4918092,Bishopsgate Library,http://www.bishopsgate.org.uk/library,Point(-0.0793 51.5187)
http://www.wikidata.org/entity/Q5042665,Pepys Library,http://www.magd.cam.ac.uk/pepys,Point(0.11687 52.2107)
http://www.wikidata.org/entity/Q5225889,Darwen Library,http://www.blackburn.gov.uk/server.php?show=ConWebDoc.1116,Point(-2.466 53.6967)
http://www.wikidata.org/entity/Q5316583,Durham University Library,http://www.dur.ac.uk/library/,Point(-1.57333 54.7681)
http://www.wikidata.org/entity/Q5442858,Feminist Library,http://feministlibrary.co.uk,Point(-0.1055 51.4985)
http://www.wikidata.org/entity/Q5566950,Glasgow University Library,http://www.gla.ac.uk/services/library/,Point(-4.289 55.8733)
http://www.wikidata.org/entity/Q5566961,Glasgow Women's Library,http://womenslibrary.org.uk/,Point(-4.247 55.856)
http://www.wikidata.org/entity/Q5566961,Glasgow Women's Library,https://womenslibrary.org.uk/,Point(-4.247 55.856)
http://www.wikidata.org/entity/Q5566961,Glasgow Women's Library,http://womenslibrary.org.uk/,Point(-4.2276 55.849)
http://www.wikidata.org/entity/Q5566961,Glasgow Women's Library,https://womenslibrary.org.uk/,Point(-4.2276 55.849)
http://www.wikidata.org/entity/Q6542562,Library for Iranian Studies,http://www.iranianlibrary.org.uk/,Point(-0.275278 51.5075)
http://www.wikidata.org/entity/Q7057517,North of England Institute of Mining and Mechanical Engineers,http://www.mininginstitute.org.uk,Point(-1.614277777 54.969355555)
