url_absolute,page_html,page_text
https://arena.yourlondonlibrary.net/web/bexley/bcl,html_files\arena_yourlondonlibrary_net_web_bexley_bcl.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

A there are 6 libraries in Bexley run by local community groups on behalf of and with support from London Borough of Bexley.





"
https://arena.yourlondonlibrary.net/web/bexley/blackfen-library,html_files\arena_yourlondonlibrary_net_web_bexley_blackfen_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

A there are 6 libraries in Bexley run by local community groups on behalf of and with support from London Borough of Bexley.





"
https://arena.yourlondonlibrary.net/web/bexley/central-library,html_files\arena_yourlondonlibrary_net_web_bexley_central_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

There are 12 libraries in London Borough of Bexley, including 6 community managed libraries.

Telephone calls are handled by the Council's Contact Centre, at the Civic Offices, Bexleyheath. The Contact Centre can deal with a variety of library enquiries, including renewing items, booking a computer and finding out which library has the items you need.

For Community Library Services, services to residential homes and the Home Library Service, please call 020 3045 4565 or email LibraryCommunityServices@bexley.gov.uk





"
https://arena.yourlondonlibrary.net/web/bexley/crayford-library,html_files\arena_yourlondonlibrary_net_web_bexley_crayford_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

There are 12 libraries in London Borough of Bexley, including 6 community managed libraries.

Telephone calls are handled by the Council's Contact Centre, at the Civic Offices, Bexleyheath. The Contact Centre can deal with a variety of library enquiries, including renewing items, booking a computer and finding out which library has the items you need.

For Community Library Services, services to residential homes and the Home Library Service, please call 020 3045 4565 or email LibraryCommunityServices@bexley.gov.uk





"
https://arena.yourlondonlibrary.net/web/bexley/north-heath-library,html_files\arena_yourlondonlibrary_net_web_bexley_north_heath_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

A there are 6 libraries in Bexley run by local community groups on behalf of and with support from London Borough of Bexley.





"
https://arena.yourlondonlibrary.net/web/bexley/sidcup-library,html_files\arena_yourlondonlibrary_net_web_bexley_sidcup_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

There are 12 libraries in London Borough of Bexley, including 6 community managed libraries.

Telephone calls are handled by the Council's Contact Centre, at the Civic Offices, Bexleyheath. The Contact Centre can deal with a variety of library enquiries, including renewing items, booking a computer and finding out which library has the items you need.

For Community Library Services, services to residential homes and the Home Library Service, please call 020 3045 4565 or email LibraryCommunityServices@bexley.gov.uk





"
https://arena.yourlondonlibrary.net/web/bexley/thamesmead-library,html_files\arena_yourlondonlibrary_net_web_bexley_thamesmead_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

There are 12 libraries in London Borough of Bexley, including 6 community managed libraries.

Telephone calls are handled by the Council's Contact Centre, at the Civic Offices, Bexleyheath. The Contact Centre can deal with a variety of library enquiries, including renewing items, booking a computer and finding out which library has the items you need.

For Community Library Services, services to residential homes and the Home Library Service, please call 020 3045 4565 or email LibraryCommunityServices@bexley.gov.uk





"
https://arena.yourlondonlibrary.net/web/bexley/upper-belvedere-library,html_files\arena_yourlondonlibrary_net_web_bexley_upper_belvedere_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

A there are 6 libraries in Bexley run by local community groups on behalf of and with support from London Borough of Bexley.





"
https://arena.yourlondonlibrary.net/web/bexley/welling-library,html_files\arena_yourlondonlibrary_net_web_bexley_welling_library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

There are 12 libraries in London Borough of Bexley, including 6 community managed libraries.

Telephone calls are handled by the Council's Contact Centre, at the Civic Offices, Bexleyheath. The Contact Centre can deal with a variety of library enquiries, including renewing items, booking a computer and finding out which library has the items you need.

For Community Library Services, services to residential homes and the Home Library Service, please call 020 3045 4565 or email LibraryCommunityServices@bexley.gov.uk





"
https://arena.yourlondonlibrary.net/web/bexley/-/erith-library#/?location=Erith%20Library,html_files\arena_yourlondonlibrary_net_web_bexley___erith_library___location=Erith_20Library.html,"The technologies that this content relies upon is: HTML5, CSS 3.0 and JavaScript.If any of these technologies are turned off or not supported we can not guarantee full functionality.

The library is near to the Erith Riverside Shopping Centre and Morrison's supermarket.

 





"
https://bowarts.org/location/old-manor-park-library/,html_files\bowarts_org_location_old_manor_park_library_.html,"Old Manor Park Library is a beautiful Grade II listed building hosting 20 accessible creative workspaces for artists. These studios are purposely designed to give artists the space they need, while also providing the opportunity to interact and build relationships with other creatives.

Old Manor Park Library, 835 Romford Road, London, E12 5JY

Nearest station(s): Manor Park (TFL Rail), Woodgrange Park (Overground)

Bus: 25, 86, 425, N25, N86, W19, 147

Parking: No Parking Available

Bike: Limited bicycle parking available.

Step-free access to ground floor

""Having the studio means I now have the space to explore my craftsmanship and look into working with different materials and techniques to find what I truly want to pursue. Since joining the Bow Arts community I have met a wide variety of artists from different walks of life and trade who have been extremely welcoming.""

Studio holder at our Old Manor Park Library studio site Bernie finds inspiration from where she’s from.

Along with offering affordable studio spaces, we also provide opportunities to help you to develop professionally, such as workshops, training sessions, peer crits, panel discussions and the sale of your art through Own Art.

Old Manor Park Library is opening the doors for an Open Studios event! Meet the artists as they display their works spanning sculpture, installation, painting, drawing, set design, photography and more!

We work locally with Dersingham Primary School, Cleves Primary School and Sandringham Primary School to deliver artist-led workshops and creative programmes to inspire learning.

Old Manor Park Library is right by Manor Park, a peaceful place to stroll and enjoy time in nature.

Just a short distance away is Applecart Arts, an organisation committed to creating original music, film, visual art and drama, reaching across cultural divides and telling stories which engage, inspire and entertain.

Like what you see?

Apply for a studio"
https://corbettcommunity.org.uk,html_files\corbettcommunity_org_uk.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Welcome! Here at the Corbett Community Library we have lots going on! As well as usual library services we have a variety of regular activities, host larger scale events for the whole community and hire out several spaces for workshops and conferences. We have over 4000 visitors come through our doors each month so it’s a real community hub.

As a community library we rely on local residents to keep the doors open and the lights on! Either through volunteering, donating or attending activities. If you’d like to get involved please continue to read…

We currently have regular activities for small children; weekly Storytimes, Singing, Play & Chat and a Homework Club. We offer a range of ESOL classes (English as a Second Language) weekly, a writers group, book club, Knit N Knatter, Mindful Monday and a number of Health & Wellness classes. Click on our Activities page to learn more.

 

We provide a friendly face to face service, that helps local people access the services and benefits that they are entitled to. We do this by using our knowledge and experience of the systems in play, to overcome the obstacles that frequently prevent or slow down the processes, people are trying to access. A large part of this concerns the use of computers, email and IT technology.

More info

Feb 12, 2024

Join us for a fun and interactive quiz night with fully licensed bar, set in our beautiful library. There will be 6 rounds...

Feb 5, 2024

This Month is LGBT+ Month. We have created a display to celebrate it and to raise awareness. What is it and why do we...

Nov 28, 2023

We’re delighted to announce that we have been granted funding by Stay Nimble to continue with our employability and job..."
https://corbettcommunity.org.uk/listing/breast-cancer-awareness-talk/,html_files\corbettcommunity_org_uk_listing_breast_cancer_awareness_talk_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm


 « All Events


Given by Breast Cancer Now, focusing on:

Contact us if you’re coming to give us an idea of numbers!"
https://corbettcommunity.org.uk/listing/soundbath/,html_files\corbettcommunity_org_uk_listing_soundbath_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm


 « All Events


A relaxing and transformative sound bath with the music of Alchemy Crystal Bowls.

£20. Click here to book."
https://corbettcommunity.org.uk/2023/11/28/stay-nimble-with-our-employability-support-programme/,html_files\corbettcommunity_org_uk_2023_11_28_stay_nimble_with_our_employability_support_programme_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Nov 28, 2023

We’re delighted to announce that we have been granted funding by Stay Nimble to continue with our employability and job support programme and can now expand upon the sessions we offer to potential candidates for this service.

With how successful the programme has been to visitors of Corbett Community Library, we have been hoping to keep this service going and thanks to Stay Nimble, we have now been given the chance to continue supporting others.

From the 5th of December, the Tuesday morning sessions will be from 9am-1pm, with appointments from 9.15-12.25pm and drop-ins from 12.30-1pm. The eligible criteria for those who wish to use this service must be:

Furthermore, in working with Stay Nimble, further support will be offered through the inclusion of their Thrive programme. Candidates would be offered a number of services when registered on the programme, including 6 hours of one-to-one coaching and access to the Stay Nimble platform and their resources.

Our Employability Support Programme has received an immense amount of positive feedback from those who have found support and help through receiving expert employment advice, and we have plenty of success stories who have figured out what they have been looking for – whether they are those who have been out of work for a long time and wish to jump back into it, or for those who are just starting out with their careers. So far, we’ve helped at least 30 people with CVs, job applications and practice interviews, all down to our wonderful career wizard Cordelia!

If you or anyone you know would like support through our careers and employability service, pop into the library, or contact us via email at info@corrbettcommunity.org.uk / jobsupport@corbettcommunity.org.uk or via our phone number 020 8378 5358."
https://corbettcommunity.org.uk/,html_files\corbettcommunity_org_uk_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Welcome! Here at the Corbett Community Library we have lots going on! As well as usual library services we have a variety of regular activities, host larger scale events for the whole community and hire out several spaces for workshops and conferences. We have over 4000 visitors come through our doors each month so it’s a real community hub.

As a community library we rely on local residents to keep the doors open and the lights on! Either through volunteering, donating or attending activities. If you’d like to get involved please continue to read…

We currently have regular activities for small children; weekly Storytimes, Singing, Play & Chat and a Homework Club. We offer a range of ESOL classes (English as a Second Language) weekly, a writers group, book club, Knit N Knatter, Mindful Monday and a number of Health & Wellness classes. Click on our Activities page to learn more.

 

We provide a friendly face to face service, that helps local people access the services and benefits that they are entitled to. We do this by using our knowledge and experience of the systems in play, to overcome the obstacles that frequently prevent or slow down the processes, people are trying to access. A large part of this concerns the use of computers, email and IT technology.

More info

Feb 12, 2024

Join us for a fun and interactive quiz night with fully licensed bar, set in our beautiful library. There will be 6 rounds...

Feb 5, 2024

This Month is LGBT+ Month. We have created a display to celebrate it and to raise awareness. What is it and why do we...

Nov 28, 2023

We’re delighted to announce that we have been granted funding by Stay Nimble to continue with our employability and job..."
https://corbettcommunity.org.uk/news/,html_files\corbettcommunity_org_uk_news_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Feb 12, 2024

Join us for a fun and interactive quiz night with fully licensed bar, set in our beautiful...

Feb 5, 2024

This Month is LGBT+ Month. We have created a display to celebrate it and to raise awareness. What...

Nov 28, 2023

We’re delighted to announce that we have been granted funding by Stay Nimble to continue with our...

Nov 16, 2023

**the position has now been filled** We are seeking to appoint someone friendly and personable to...

Sep 14, 2023

Our charity Art Auction is almost here... Saturday 23rd September, 6:30pm - 10.30pm Join us for an...

Sep 14, 2023

We're just a week away from our Art Auction, so do be ready to join us on Saturday 23rd March. So...

May 22, 2023

Catford, South East London Careers Day 8th June 9.30am – 3pm One of our best and brightest...

Apr 17, 2023

Here at the Corbett Library, we love wellbeing. In fact, well is our very favourite thing to be;...

Mar 18, 2023

One of the best things about Catford & Hither Green is the wash of green that surrounds us...

Mar 14, 2023

One of our big exciting reveals in February was that we would be starting employability and...

Mar 11, 2023

We are delighted to confirm the return of a local favourite - the Corbett Spring Makers' Market!...

Feb 27, 2023

We're delighted to announce we have been awarded a project grant by the Good Things Foundation to...

Jan 30, 2023

We need your help to continue running your community library service and arts centre. We are...

Jan 13, 2023

At Corbett Community Library, we know that community matters – in fact, it’s right there in the...

Dec 8, 2022

The Christmas season is fast approaching... and with it, the Corbett Community Library will be..."
https://corbettcommunity.org.uk/listing/torridon-writers-2/2024-09-03/,html_files\corbettcommunity_org_uk_listing_torridon_writers_2_2024_09_03_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm


 « All Events


Fantastic inspiration and discussion for creative writing, run by Jill Jenkins.

FREE and thoughtful, come and join!

 "
https://corbettcommunity.org.uk/meet-the-team/,html_files\corbettcommunity_org_uk_meet_the_team_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Centre Manager

Centre Assistant

Online Support"
https://corbettcommunity.org.uk/listing/craft/2024-09-03/,html_files\corbettcommunity_org_uk_listing_craft_2024_09_03_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm


 « All Events
"
https://corbettcommunity.org.uk/listings/category/events/,html_files\corbettcommunity_org_uk_listings_category_events_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

A relaxing and transformative sound bath with the music of Alchemy Crystal Bowls. £20. Click here to book.

Given by Breast Cancer Now, focusing on: Breast cancer facts and figures The signs and symptoms of breast cancer The importance of early detection Learn about how you can help reduce your risk Myths and misconceptions Contact us if you're coming to give us an idea of numbers!"
https://corbettcommunity.org.uk/listing/core-control-pilates-with-sadie-mum-baby/2024-09-03/,html_files\corbettcommunity_org_uk_listing_core_control_pilates_with_sadie_mum_baby_2024_09_03_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm


 « All Events


Please note: this class is term time only.

A great way to tone, stretch and strengthen after the birth of your baby. No babysitter? No worries. babies can join in with some exercise/play/sleep next to you. No prior experience necessary and a great way to meet other new local mums too.

All equipment provided.

Book your place on a 5 week course for only £40 or pay £10 drop-in.

To book your place for either the full course or drop in please email Sadie on: corecontrolpilates@outlook.com"
https://corbettcommunity.org.uk/meet-the-board/,html_files\corbettcommunity_org_uk_meet_the_board_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

The role of the Board and Trustees of the Archibald Corbett Community Library, Arts and Heritage Centre

In June 2016 the Archibald Corbett Society and the Corbett Residents’ Association joined forces to form a company limited by guarantee and a charity with the intention of saving the Torridon Road Library from being closed down by the Council and which re-opened as a community library and arts and heritage centre at the end of October 2016.

The company limited by guarantee acts as the legal structure to run the Charity. The Company has a Board of directors and the Charity has Trustees. It is the responsibility of both the board and the Trustees to ensure the organisation is run in accordance with the Articles of Association which govern how the Centre is operated in accordance with its objects.

Board members/Trustees are also responsible for overseeing the financial affairs of the ACCLAHC to include publishing a report and accounts each year which is filed at Companies House and the Charities Commission. The Board meets bi monthly where it discusses finances, how the Library is operating on a day to day basis and the future development of the Centre to ensure its long term sustainability.

There are currently ten Board members who are also the Trustees of the Charity and a Secretary. Our board members all live, or have lived, on the Corbett Estate and have a range of experience in building management, accountancy, education, child welfare, community business management, media, fundraising, IT and health.

We are always looking for new members from our local community who feel they could contribute skills and ideas that will help maintain and develop the Centre as a vibrant asset for the benefit of local residents.

If you are interested, please contact our Chair, Pat Merry.

 

Chair

Pat was a founder member of the Corbett Community Library in 2016 after retirement from the London Borough of Lewisham with years of facilities management behind her. She has volunteered at the Library since it became a Community Library, coordinating facilities and building maintenance, and in the last four years, line managing the Centre Manager. She is happy to roll up her sleeves and help build shelves or fix doors.

Secretary

Jacky has been working as a volunteer at the Corbett Community Library since 2017. In 2021 she became a Board member has been the Chair since July 2022. Before retiring, she was a professionally qualified Librarian working in the fields of Education, Architecture/Building Surveying, Actuaries, Law and Medicine. Outside her work with the CCL, she volunteers at a local primary school helping children with their reading. She belongs to Rock Choir, The WI and enjoys the opera, theatre, cinema and meeting friends.

Treasurer

Jane has been Treasurer of the Corbett Community Library since 2017. She is a chartered accountant who works as a contractor in the insurance industry, after spending 16 years at Aviva. She has lived on the Corbett Estate for nearly 24 years and joined the Corbett Residents’ Association in 2010, helping to organise various events, including the annual fireworks. She also volunteered to set up a residents’ book club which is still going strong today.

Julia was a founder member of the Corbett Community Library with Peter Ranken in 2016. She was Volunteer Coordinator for many years and has been a Corbett resident for 50 years. On retirement from teaching, she joined and volunteered for the Corbett Residents’ Association as a member of the Streets and Environment Group and the Events Group. She has led events such as the CRA festivals and Christmas street markets and  campaigns including the Snow Wardens. She also volunteers for the environmental group, Clean Air for Catford.

Ben became a Corbett Estate resident in 2012, and joined the Archibald Corbett Society when it was founded in 2013. He made a film about Archibald Cameron Corbett (Archibald Cameron Corbett: The Man and The Houses) with funding from the National Lottery, which had public screenings in three of the Corbett Estates and has since been viewed thousands of times on YouTube (watch here). He is currently the Secretary of Archibald Corbett Society, which meets every three months in the Library.

Cheryl has been a resident of the Corbett Estate since 1993. As well as being a board member, she has volunteered at the Library since it reopened in its new guise. Cheryl’s background is in Early Childhood Education (under 5s) and she has put this to good use in the past by reading stories to groups of children visiting the Library from local schools. As an avid book reader, Cheryl is well aware of the importance of keeping the Library open and its benefits for all age groups.

Helen joined the Board in 2022 and has been volunteering in the Library for a while. She is currently a Resident Support Manager within a housing association. She decided to become a trustee to give back to her local community. She enjoys helping others and volunteering at the welfare benefits sessions held at the Library, applying her knowledge and experience in housing issues and welfare benefits. She has also volunteered within the Citizens Advice Bureau. She has previously worked within Government, Local Authority and in the private sector in the legal field.

Lynda has lived on the Corbett Estate for over 30 years and has worked in Lewisham for a similar period of time. She is a retired primary schoolteacher and head teacher. Following her retirement from headship, Lynda became an education consultant and worked supporting school leadership and also mentoring and supporting Teach First trainee teachers. However, Lynda’s first job on leaving school was in the West Riding County Library as a library assistant. She has been working as a volunteer at the Corbett Library since it reopened as a community library.

Gavin joined the Board in 2022 after moving to the Corbett Estate. He has been a university lecturer in British Politics and a researcher on equality, diversity and inclusion; widening participation and community engagement. He currently works for Downham Library and a literature organisation that specialises in supporting and promoting underrepresented voices and reaching diverse audiences.

Jenny became a board member in September 2022. She has worked as a graphic artist for newspapers all her career and has worked at The Times for 20 years. She has brought her three sons up on the Corbett Estate and has always been a keen library user.

In the early days of the Library starting up as a charity in 2016, she helped design an exhibition on the origins of the Corbett Estate and has also designed the logo.

She is passionate about visual art and is working towards increasing provision of this within the community at the Library and inviting more artists to use the space we have. She is a member of the creative writing group and the reading group and having been trained in librarian skills, loves to volunteer when she can.

Patron

Peter lived on the Corbett Estate for 38 years and managed a Communications and Graphic Design Consultancy for 27 years. In 2002, he moved into the third sector working in community regeneration.

In 2013, Peter set up The Archibald Corbett Society with the support of over 400 residents to protect and promote the legacy of Archibald Corbett and the Corbett Estate. Between 2013 and 2016, he was also responsible for the regeneration of a disused Council owned playing field at Abbotshall Road on the Corbett Estate, raising £1million to develop it into a Healthy Lifestyle Centre.

In 2016, Peter coordinated the takeover of the Grade II listed Torridon Library from Lewisham Council, setting up a Charitable Company Limited by Guarantee and developing the Library into a community hub. In 2019, Peter was successful in raising £210,000 to fund two managers to run the hub.

In 2017, Peter became a founder member of the Community Managed Libraries National Peer Network. He now lives in Kent and is Chair of the Friends of Edenbridge and Westerham Citizens Advice, but still visits the Corbett Community Library regularly.

Peter was awarded an MBE for services to the community on the Corbett Estate in the Queen’s Birthday Honours List, June 2016. In 2023, he became the very first Patron of the Corbett Community Library."
https://corbettcommunity.org.uk/2024/02/12/big-fat-cheesy-quiz-night-saturday-16th-march/,html_files\corbettcommunity_org_uk_2024_02_12_big_fat_cheesy_quiz_night_saturday_16th_march_.html,"Please note: We are open Mon/Tue & Thur 9-5.30 & Sat 10-1pm

Feb 12, 2024

Join us for a fun and interactive quiz night with fully licensed bar, set in our beautiful library.

There will be 6 rounds including picture, music and some surprises!

We are looking for teams of 2-6.

You can team up with other people on arrival if you prefer.

Tickets can be bought here or within the library.

You can also pre-book a cheeseboard for your table of 6!"
